"NUM_ELE","VALIDITE","NUM_GRP","SESSIONS","POIDS_RELATIF","LIEN_OBLIG","NUM_ORDRE","VALIDITE_GRP","NIVEAU","TYPE_LIEN","COMMENTAIRE_ANGL"
"47415","2012","3668","","5","0","14","2012","","",""
"47415","2012","3712","","5","0","3","2012","","",""
"47415","2012","3714","","5","0","4","2012","","",""
"47415","2012","3715","","5","0","5","2012","","",""
"47415","2012","3722","","5","0","2","2012","","",""
"47415","2012","4189","","5","0","1","2012","","",""
"47415","2012","4313","","5","0","17","2012","","",""
"47415","2012","6263","","6","0","10","2012","","",""
"47415","2012","26920","","5","0","7","2012","","",""
"47415","2012","26962","","5","0","12","2012","","",""
"47415","2012","27160","","5","0","13","2012","","",""
"47415","2012","27776","","5","0","11","2012","","",""
"47415","2012","32201","","4","0","9","2012","","",""
"47415","2012","38257","","5","0","15","2012","","",""
"47415","2012","44788","","5","0","6","2012","","",""
"47415","2012","46760","","5","0","16","2012","","",""
"47425","2012","47426","","0","1","1","2012","","",""
"47425","2012","47427","","0","1","2","2012","","",""
"47425","2012","47428","","0","1","3","2012","","",""
"47426","2012","42243","","0","1","2","2012","","","The student shall select"
"47426","2012","45849","","28","1","1","2012","2","",""
"47426","2012","47280","","0","1","3","2012","","","The student shall select 3 credits from amongst"
"47427","2012","47440","","0","1","1","2012","","",""
"47427","2012","47441","","0","1","2","2012","","",""
"47428","2012","47429","","0","1","1","2012","","",""
"47428","2012","47430","","0","0","2","2012","","",""
"47429","2012","54210","","0","0","7","2012","","",""
"47429","2012","54211","","0","0","8","2012","","",""
"47429","2012","54212","","0","0","9","2012","","",""
"47429","2012","54213","","0","0","10","2012","","",""
"47429","2012","54214","","0","0","12","2012","","",""
"47429","2012","54604","","0","0","11","2012","","",""
"47430","2012","3679","","5","0","14","2012","","",""
"47430","2012","7069","","3","0","8","2012","","",""
"47430","2012","27777","","5","0","9","2012","","",""
"47430","2012","42374","","0","0","16","2012","","","Students should note that any course appearing in the options of their Master?s, but not selected as such, remains a possible elective."
"47430","2012","42379","","0","0","18","2012","","","Students can also include in their curriculum any course given at UCL or FIW / KULeuven subject to approval of the Diploma committee."
"47430","2012","42381","","0","0","17","2012","","","Students may include in their curriculum any  BEST or ATHENS subject to approval by the Diploma committee. These courses are worth 2 credits"
"47430","2012","46300","","0","0","19","2012","","","Students may include in their electives any language course of the Institute of Modern Languages (ILV) for a maximum of 3 credits within the 120 basic credits of their Master?s. Their attention is drawn to the following professional insertion seminars:"
"47430","2012","56593","","0","0","15","2012","","","Students may include in their curriculum a company training period worth 10  credits. However, if this activity is related to their final thesis, they shall choose the 5-credit FSA 2996 course."
"47430","2012","75320","","3","0","3","2012","","",""
"47430","2012","75322","","3","0","7","2012","","",""
"47440","2012","26910","","5","1","4","2012","1","",""
"47440","2012","26912","","5","1","1","2012","1","",""
"47440","2012","26915","","5","1","2","2012","1","",""
"47440","2012","26922","","5","1","3","2012","1","",""
"47440","2012","26960","","5","1","5","2012","1","",""
"47441","2012","38494","","5","1","1","2012","","",""
"47498","2012","47620","","0","1","7","2012","","",""
"47499","2012","26910","","5","1","4","2012","","",""
"47499","2012","26912","","5","1","1","2012","","",""
"47499","2012","26915","","5","1","2","2012","","",""
"47499","2012","26922","","5","1","3","2012","","",""
"47499","2012","26960","","5","1","5","2012","","",""
"47500","2012","38494","","5","1","1","2012","","",""
"47501","2012","26959","","5","1","1","2012","","",""
"47620","2012","42243","","0","1","5","2012","","","The student shall select"
"47620","2012","45850","","18","1","6","2012","","",""
"47620","2012","47499","","0","1","1","2012","","",""
"47620","2012","47500","","0","1","2","2012","","",""
"47620","2012","47501","","0","1","3","2012","","",""
"47620","2012","47502","","0","1","4","2012","","",""
"48240","2012","26915","","5","1","1","2012","","",""
"48240","2012","26933","","3","1","2","2012","","",""
"48242","2012","2167","","5","0","1","2012","","",""
"48242","2012","2175","","5","0","2","2012","","",""
"48242","2012","27159","","5","0","4","2012","","",""
"48242","2012","33079","","5","0","3","2012","","",""
"49180","2012","26917","","5","1","1","2012","","",""
"49181","2012","26917","","5","0","1","2012","","",""
"54210","2012","47305","","0","0","1","2012","","1","All courses in this option are compulsory."
"54211","2012","47320","","0","0","1","2012","","1","The student shall select 30 credits from amongst"
"54212","2012","47321","","0","0","1","2012","","1","Choose 6 courses in this list of 7 :"
"54213","2012","47340","","0","0","1","2012","","1","The student shall select 26 to 30 credits from amongst"
"54214","2012","45416","","0","0","1","2012","","1",""
"54215","2012","45282","","0","1","8","2012","","1",""
"54216","2012","45414","","0","0","1","2012","","1",""
"54217","2012","45415","","0","0","1","2012","","1",""
"54218","2012","45416","","0","0","1","2012","","1",""
"54604","2012","45415","","0","1","1","2012","","1",""
"54831","2012","54832","","110","1","1","2012","","",""
"54831","2012","54834","","30","1","4","2012","","",""
"54831","2012","206820","","0","1","2","2012","","",""
"54832","2012","29720","1","8","1","1","2012","1","",""
"54832","2012","29721","2","9","1","2","2012","1","",""
"54832","2012","29733","1","6","1","7","2012","1","",""
"54832","2012","29734","2","6","1","8","2012","1","",""
"54832","2012","29736","2","6","1","10","2012","1","",""
"54832","2012","29738","1","6","1","12","2012","1","",""
"54832","2012","29740","1","8","1","14","2012","1","",""
"54832","2012","29741","2","6","1","15","2012","1","",""
"54832","2012","30108","1","5","1","3","2012","2","",""
"54832","2012","30110","1","5","1","9","2012","2","",""
"54832","2012","30112","1","5","1","11","2012","2","",""
"54832","2012","30115","1","5","1","13","2012","2","",""
"54832","2012","30118","1","5","1","16","2012","2","",""
"54832","2012","30119","1","5","1","4","2012","2","",""
"54832","2012","32027","","3","1","25","2012","2","",""
"54832","2012","32029","1","4","1","5","2012","3","",""
"54832","2012","32032","2","5","1","6","2012","2","",""
"54832","2012","55511","","0","1","28","2012","","",""
"54832","2012","192056","","0","1","26","2012","","",""
"54832","2012","192058","","0","1","27","2012","","",""
"54834","2012","54835","","10","1","2","2012","2","",""
"54834","2012","54836","","20","1","3","2012","3","",""
"55370","2012","55391","","0","1","1","2012","","",""
"55370","2012","55392","","0","1","2","2012","","",""
"55370","2012","55393","","0","1","3","2012","","",""
"55391","2012","55394","","0","1","1","2012","","",""
"55391","2012","55395","","0","1","2","2012","","",""
"55391","2012","55396","","0","1","3","2012","","",""
"55391","2012","55397","","0","1","4","2012","","",""
"55391","2012","55398","","0","1","5","2012","","",""
"55391","2012","55399","","0","1","6","2012","","",""
"55392","2012","6998","2","5","1","6","2012","2","",""
"55392","2012","27707","2","5","1","5","2012","2","",""
"55392","2012","30115","1","5","1","15","2012","2","",""
"55392","2012","30980","2","7","1","2","2012","1","",""
"55392","2012","33068","","5","1","9","2012","3","",""
"55392","2012","33069","2","5","1","10","2012","3","",""
"55392","2012","33070","2","5","1","12","2012","3","",""
"55392","2012","33071","","5","1","13","2012","3","",""
"55392","2012","33072","1","5","1","14","2012","3","",""
"55392","2012","33074","1","5","1","4","2012","3","",""
"55392","2012","36902","1","6","1","1","2012","1","",""
"55392","2012","36903","1","6","1","3","2012","1","",""
"55392","2012","191096","","4","1","16","2012","3","",""
"55393","2012","65960","","15","0","2","2012","2","",""
"55393","2012","66000","","15","0","3","2012","3","",""
"55394","2012","97","1","6","1","5","2012","2","",""
"55394","2012","99","1","4","1","6","2012","2","",""
"55394","2012","6996","2","7","1","7","2012","2","",""
"55394","2012","28522","1","3","1","8","2012","3","",""
"55394","2012","31396","1","7","1","1","2012","1","",""
"55394","2012","31810","2","5","1","4","2012","1","",""
"55395","2012","2178","2","4","1","2","2012","3","",""
"55395","2012","30978","2","6","1","1","2012","1","",""
"55396","2012","30521","2","5","1","4","2012","1","",""
"55396","2012","32245","1","4","1","3","2012","3","",""
"55397","2012","32173","1","5","1","4","2012","2","",""
"55397","2012","32174","1","5","1","3","2012","2","",""
"55397","2012","72022","1","5","1","2","2012","1","",""
"55398","2012","30509","2","5","1","2","2012","1","",""
"55398","2012","72030","1","5","1","1","2012","1","",""
"55399","2012","342","2","3","1","1","2012","1","",""
"55399","2012","33845","2","3","1","2","2012","2","",""
"55413","2012","99","","4","1","8","2012","","",""
"55413","2012","33069","","5","1","18","2012","","",""
"55413","2012","33070","","5","1","21","2012","","",""
"55413","2012","33071","","4","1","15","2012","","",""
"55413","2012","33072","","5","1","6","2012","","",""
"55413","2012","33073","","5","1","20","2012","","",""
"55413","2012","33074","","5","1","7","2012","","",""
"55413","2012","33202","","5","1","2","2012","","",""
"55413","2012","55530","","0","1","22","2012","","",""
"55413","2012","72022","","5","1","11","2012","","",""
"55511","2012","55513","","0","1","1","2012","","",""
"55511","2012","55514","","0","0","2","2012","","",""
"55511","2012","55515","","0","0","3","2012","","",""
"55511","2012","55516","","0","0","4","2012","","",""
"55511","2012","55517","","0","0","5","2012","","",""
"55513","2012","362","","2","1","2","2012","","",""
"55513","2012","32723","","2","1","1","2012","","",""
"55513","2012","33850","","2","1","3","2012","","",""
"55514","2012","4544","","2","0","1","2012","1","",""
"55514","2012","4551","","2","0","4","2012","2","",""
"55514","2012","58157","","2","0","6","2012","3","",""
"55515","2012","133","","2","0","1","2012","1","",""
"55515","2012","138","","2","0","2","2012","2","",""
"55515","2012","25553","","2","0","3","2012","3","",""
"55516","2012","2243","","2","0","2","2012","1","",""
"55516","2012","2249","","2","0","3","2012","2","",""
"55516","2012","2250","","2","0","4","2012","3","",""
"55516","2012","85400","","2","0","5","2012","3","",""
"55530","2012","342","","3","0","1","2012","","",""
"55530","2012","33845","","3","0","2","2012","","",""
"56593","2012","46770","","10","0","1","2012","","",""
"56593","2012","56597","","5","0","2","2012","","",""
"73520","2012","32230","","4","0","1","2012","23","",""
"73520","2012","32245","","4","0","2","2012","23","",""
"73526","2012","30505","","5","0","3","2012","23","",""
"73526","2012","30507","","5","0","2","2012","23","",""
"73526","2012","71960","","5","0","1","2012","23","",""
"80928","2012","32178","","4","1","1","2012","23","",""
"80928","2012","32197","","4","1","2","2012","23","",""
"80928","2012","32230","","4","1","4","2012","23","",""
"80928","2012","32246","","4","1","3","2012","23","",""
"80928","2012","72010","","4","1","5","2012","23","",""
"81324","2012","71962","","6","0","1","2012","23","",""
"81324","2012","73008","","5","0","2","2012","23","",""
"102042","2012","102044","","0","1","1","2012","","",""
"102042","2012","102048","","0","0","3","2012","","",""
"102042","2012","102052","","0","0","5","2012","","",""
"102044","2012","2165","2","5","1","4","2012","12","",""
"102044","2012","26926","2","5","1","3","2012","12","",""
"102044","2012","44788","1","5","1","1","2012","12","",""
"102048","2012","2149","","5","0","4","2012","12","",""
"102048","2012","2172","","5","0","5","2012","12","",""
"102048","2012","3668","","5","0","2","2012","12","",""
"102048","2012","3696","","5","0","3","2012","12","",""
"102048","2012","38261","","5","0","1","2012","12","",""
"102048","2012","44787","","5","0","6","2012","12","",""
"102052","2012","26915","","5","0","1","2012","12","",""
"117318","2012","26917","2","5","1","1","2012","","",""
"117318","2012","26924","1","5","1","4","2012","","",""
"117318","2012","26926","2","5","1","5","2012","","",""
"117318","2012","38257","1","5","1","2","2012","","",""
"117318","2012","38261","1","5","1","3","2012","","",""
"117328","2012","3668","2","5","0","2","2012","","",""
"117328","2012","3714","1","5","0","6","2012","","",""
"117328","2012","26968","2","5","0","3","2012","","",""
"117328","2012","27159","2","5","0","1","2012","","",""
"117328","2012","44788","1","5","0","4","2012","","",""
"117330","2012","3696","2","5","0","10","2012","","",""
"117330","2012","26924","1","5","0","8","2012","","",""
"117330","2012","26929","2","5","0","9","2012","","",""
"117330","2012","26959","2","5","0","1","2012","","",""
"117330","2012","26965","2","5","0","2","2012","","",""
"117330","2012","27185","2","5","0","4","2012","","",""
"117330","2012","27186","2","5","0","3","2012","","",""
"117330","2012","38257","1","5","0","6","2012","","",""
"117330","2012","38259","1","5","0","7","2012","","",""
